Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Total Nacional;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,9
Total Nacional;Hombres;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);97,1
Total Nacional;Hombres;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;59,6
Total Nacional;Hombres;Edad: De 25 a 34 años;Total Personas;2.618.141
Total Nacional;Hombres;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,7
Total Nacional;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;99,6
Total Nacional;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,2
Total Nacional;Hombres;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);96,5
Total Nacional;Hombres;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;72,4
Total Nacional;Hombres;Edad: De 35 a 44 años;Total Personas;3.577.094
Total Nacional;Hombres;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,7
Total Nacional;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;98,8
Total Nacional;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;97,9
Total Nacional;Hombres;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);91,8
Total Nacional;Hombres;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;68,2
Total Nacional;Hombres;Edad: De 45 a 54 años;Total Personas;3.784.955
Total Nacional;Hombres;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,4
Total Nacional;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;96,5
Total Nacional;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;94,9
Total Nacional;Hombres;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);83,8
Total Nacional;Hombres;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;56,4
Total Nacional;Hombres;Edad: De 55 a 64 años;Total Personas;3.086.935
Total Nacional;Hombres;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,5
Total Nacional;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;88,6
Total Nacional;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;84,6
Total Nacional;Hombres;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);69,6
Total Nacional;Hombres;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;37,4
Total Nacional;Hombres;Edad: De 65 a 74 años;Total Personas;2.182.404
Total Nacional;Hombres;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;95,0
Total Nacional;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;70,5
Total Nacional;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;64,0
Total Nacional;Hombres;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);50,4
Total Nacional;Hombres;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;24,7
Total Nacional;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total Personas;7.359.046
Total Nacional;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Total Nacional;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet en los últimos 3 meses;95,1
Total Nacional;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,1
Total Nacional;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);85,6
Total Nacional;Hombres;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que han comprado a través de Internet en los últimos 3 meses;59,7
Total Nacional;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Total Personas;2.160.443
Total Nacional;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
Total Nacional;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;95,3
Total Nacional;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,7
Total Nacional;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);84,7
Total Nacional;Hombres;Hábitat: De 50.000 a menos de 100.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;53,1
Total Nacional;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Total Personas;2.540.100
Total Nacional;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,3
Total Nacional;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;92,8
Total Nacional;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;89,4
Total Nacional;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);80,3
Total Nacional;Hombres;Hábitat: De 20.000 a menos de 50.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;51,5
Total Nacional;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Total Personas;2.119.782
Total Nacional;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,5
Total Nacional;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;91,9
Total Nacional;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;90,5
Total Nacional;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);82,3
Total Nacional;Hombres;Hábitat: De 10.000 a menos de 20.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;51,3
